PvP01_01_v1_612295_BBC:1-194,PvP01_01_v1_612295_BBC
PvP01_14_v1_2894946:1-231,PvP01_14_v1_2894946
PvP01_14_v1_2896020:1-235,PvP01_14_v1_2896020
PvP01_14_v1_2896610:1-211,PvP01_14_v1_2896610
PvP01_14_v1_2906054:1-214,PvP01_14_v1_2906054
PvP01_14_v1_2906323_68:1-197,PvP01_14_v1_2906323_68
PvP01_14_v1_2906693:1-209,PvP01_14_v1_2906693
PvP01_14_v1_2913531:1-218,PvP01_14_v1_2913531
PvP01_14_v1_2914225:1-227,PvP01_14_v1_2914225
PvP01_14_v1_2916214:1-242,PvP01_14_v1_2916214
PvP01_14_v1_2918065:1-216,PvP01_14_v1_2918065
PvP01_14_v1_2918581:1-191,PvP01_14_v1_2918581
PvP01_14_v1_2921609:1-191,PvP01_14_v1_2921609
PvP01_14_v1_2922464:1-239,PvP01_14_v1_2922464
PvP01_14_v1_2924299:1-194,PvP01_14_v1_2924299
PvP01_API_v1_9703:1-236,PvP01_API_v1_9703
PvP01_API_v1_18450:1-201,PvP01_API_v1_18450
PvP01_MIT_v1_181_240:1-216,PvP01_MIT_v1_181_240
PvP01_MIT_v1_2036:1-192,PvP01_MIT_v1_2036
PvP01_MIT_v1_4505_4510_4640_4754:1-447,PvP01_MIT_v1_4505_4510_4640_4754
PvP01_MIT_v1_5747:1-201,PvP01_MIT_v1_5747
Spec_1_falciparum:1-227,Spec_1_falciparum
Spec_2_falciparum:1-256,Spec_2_falciparum
Spec_1_vivax:1-230,Spec_1_vivax
Spec_2_vivax:1-256,Spec_2_vivax
